time,open,high,low,close,Volume,Volume MA
2014-12-01T00:00:00Z,300,370,300,370,0,NaN
2014-12-02T00:00:00Z,377,378,377,378,15,NaN
2014-12-03T00:00:00Z,377.9,378,377.01,378,0,NaN
2014-12-04T00:00:00Z,377.1,377.1,377.1,377.1,0,NaN
2014-12-06T00:00:00Z,378,378,378,378,0,NaN
2014-12-08T00:00:00Z,375.01,375.01,375,375,0,NaN
2014-12-10T00:00:00Z,398,398,360.5,360.5,0,NaN
2014-12-12T00:00:00Z,379,379,350,350,3,NaN
2014-12-18T00:00:00Z,345,345,340,340,2,NaN
2015-01-08T00:00:00Z,360,360,264.81,288.99,0,NaN
2015-01-13T00:00:00Z,260,260,260,260,1,NaN
2015-01-14T00:00:00Z,200,221,109.87,120,0,NaN
2015-01-15T00:00:00Z,191.99,224,150,204.22,1,NaN
2015-01-16T00:00:00Z,210.98,225.5,189,199.46,0,NaN
2015-01-17T00:00:00Z,210,210,184,184,0,NaN
2015-01-19T00:00:00Z,210,225.51,210,225.51,0,NaN
2015-01-20T00:00:00Z,215,218,208,218,0,NaN
2015-01-21T00:00:00Z,219,225.51,219,225.51,0,NaN
2015-01-22T00:00:00Z,245.5,257.73,216.59,226.32,3,NaN
2015-01-23T00:00:00Z,230,235,215,235,0,1.25
2015-01-24T00:00:00Z,215,250.58,215,240,1,1.3
2015-01-25T00:00:00Z,248.02,256.26,245.32,254.53,479,24.5
2015-01-26T00:00:00Z,262.78,322.72,241.43,274.48,5176,283.3
2015-01-27T00:00:00Z,274.73,278.47,244.03,263.65,1604,363.5
2015-01-28T00:00:00Z,263.96,265.99,228.5,236.09,5301,628.55
2015-01-29T00:00:00Z,235.89,242,221.14,235.03,6635,960.3
2015-01-30T00:00:00Z,235,244.59,227.89,229.07,5760,1248.3
2015-01-31T00:00:00Z,229,234.67,217.11,218.45,5585,1527.4
2015-02-01T00:00:00Z,218.67,233.79,210,228.99,7220,1888.3
2015-02-02T00:00:00Z,228.39,240.1,220.89,237.83,7421,2259.35
2015-02-03T00:00:00Z,237.01,243.9,225.32,228.58,8303,2674.45
2015-02-04T00:00:00Z,228.77,230.99,221.5,227.11,9132,3131.05
2015-02-05T00:00:00Z,227.11,228.9,215,216.76,7375,3499.75
2015-02-06T00:00:00Z,216.84,226.64,216.03,223.2,5678,3783.65
2015-02-07T00:00:00Z,223.2,230.5,222.67,229,4079,3987.6
2015-02-08T00:00:00Z,229.16,231.6,220,223.99,4255,4200.35
2015-02-09T00:00:00Z,224.01,225,216.45,221.1,6526,4526.65
2015-02-10T00:00:00Z,221.13,222,215,220.87,5387,4796
2015-02-11T00:00:00Z,221.07,223.61,217.46,219.81,8959,5243.8
2015-02-12T00:00:00Z,219.96,224.61,218,223.21,7842,5635.9
2015-02-13T00:00:00Z,223.2,242.36,221.55,236.49,15252,6398.45
2015-02-14T00:00:00Z,236.92,259.98,236.08,256.66,15290,7139
2015-02-15T00:00:00Z,256.66,267.86,228,235.54,16918,7726.1
2015-02-16T00:00:00Z,235.54,241,229.6,234.68,10493,8170.55
2015-02-17T00:00:00Z,234.41,248,233,244.82,16802,8745.6
2015-02-18T00:00:00Z,244.9,246,231.93,237.49,12900,9058.85
2015-02-19T00:00:00Z,237.49,245,235.58,240.9,9440,9242.85
2015-02-20T00:00:00Z,241.11,248.32,239.99,245.34,11173,9522.25
2015-02-21T00:00:00Z,245.34,248.43,244,245.99,6196,9471.05
2015-02-22T00:00:00Z,245.72,247.48,234.01,236.83,8246,9512.3
2015-02-23T00:00:00Z,236.83,240.97,232,239.49,9992,9596.75
2015-02-24T00:00:00Z,239.49,241.91,235.51,239.87,8896,9584.95
2015-02-25T00:00:00Z,239.87,241,235.1,238.19,7795,9605.95
2015-02-26T00:00:00Z,238.21,238.47,234.33,237.11,8534,9748.75
2015-02-27T00:00:00Z,237.21,259,236.29,254.42,20687,10579.15
2015-02-28T00:00:00Z,254.42,256.97,250,255.59,7465,10739.65
2015-03-01T00:00:00Z,255.73,262,244.88,260.24,10392,10932.95
2015-03-02T00:00:00Z,260.29,279.8,256.6,276.7,18196,11573.4
2015-03-03T00:00:00Z,276.79,289.5,267.07,283.27,18811,12066
2015-03-04T00:00:00Z,283.09,287,267.39,273.37,14711,12409.45
2015-03-05T00:00:00Z,273.38,281.09,262.49,276.86,11598,12226.75
2015-03-06T00:00:00Z,276.54,280,269.12,273.23,10121,11968.3
2015-03-07T00:00:00Z,273.22,279.44,270.55,276.89,6216,11433.2
2015-03-08T00:00:00Z,276.86,278.97,270.29,275.5,5097,11163.4
2015-03-09T00:00:00Z,275.47,294.42,275,290.19,13738,11010.2
2015-03-10T00:00:00Z,290.2,299.48,289.82,293.47,16245,11177.45
2015-03-11T00:00:00Z,293.46,297.8,290.51,296.99,9756,11193.25
2015-03-12T00:00:00Z,296.98,298.9,291.87,296.05,9617,11115.45
2015-03-13T00:00:00Z,295.87,296.43,284,284,12018,11406.55
2015-03-14T00:00:00Z,284.37,289,280.86,283.95,7254,11356.95
2015-03-15T00:00:00Z,283.77,289.24,282.5,288,4393,11077
2015-03-16T00:00:00Z,287.99,294.99,287.41,292.37,8834,11073.9
2015-03-17T00:00:00Z,292.36,293.69,284.01,286.74,7772,11072.75
2015-03-18T00:00:00Z,286.63,287,250,258.5,18682,11580.15
2015-03-19T00:00:00Z,258.62,266.8,249.2,263,16397,11365.65
2015-03-20T00:00:00Z,263.06,267.42,259.31,263.31,7538,11369.3
2015-03-21T00:00:00Z,263.31,263.62,256.66,261.57,5981,11148.75
2015-03-22T00:00:00Z,261.57,271.27,259.71,269.45,5799,10528.9
2015-03-23T00:00:00Z,269.25,273.99,260.81,267.53,13628,10269.75
2015-03-24T00:00:00Z,267.54,268.51,244.86,246.15,17671,10417.75
2015-03-25T00:00:00Z,246.29,249.99,234.51,246.88,11803,10428
2015-03-26T00:00:00Z,246.99,254.9,244.92,249.88,10870,10465.45
2015-03-27T00:00:00Z,249.76,250.99,246.44,247.81,8422,10575.75
2015-03-28T00:00:00Z,247.93,254.99,247.81,253.52,5857,10613.75
2015-03-29T00:00:00Z,253.6,254,241,243.69,8497,10351.7
2015-03-30T00:00:00Z,243.6,250.06,237.94,248.78,11461,10112.5
2015-03-31T00:00:00Z,248.78,249.98,242.87,245.5,8064,10027.9
2015-04-01T00:00:00Z,245.5,248.22,241.07,247.87,9876,10040.85
2015-04-02T00:00:00Z,247.5,255.24,245.8,254.39,8635,9871.7
2015-04-03T00:00:00Z,254.79,257.43,252.59,254.84,7169,9867.45
2015-04-04T00:00:00Z,255,256.6,251.26,254.37,4269,9861.25
2015-04-05T00:00:00Z,254.37,262,252.06,261.47,5153,9677.2
2015-04-06T00:00:00Z,261.49,263,255,256.85,7489,9663.05
2015-04-07T00:00:00Z,256.84,258.7,253.45,254.27,7843,9121.1
2015-04-08T00:00:00Z,254.23,255.75,244.29,246.58,7480,8675.25
2015-04-09T00:00:00Z,246.81,248.16,239.02,244.74,7602,8678.45
2015-04-10T00:00:00Z,244.46,244.66,232.35,236.78,11462,8952.5
2015-04-11T00:00:00Z,236.78,239.99,234.77,237.91,5611,8943.1
2015-04-12T00:00:00Z,237.91,239.16,234.02,237.55,4355,8479.45
2015-04-13T00:00:00Z,237.57,238,220.77,225.73,11610,8176.4
2015-04-14T00:00:00Z,225.42,226.9,216.92,221.05,12029,8187.7
2015-04-15T00:00:00Z,221.05,224.52,218.09,224.35,8702,8079.3
